Price,Close,High,Low,Open,Volume
Ticker,ATOS,ATOS,ATOS,ATOS,ATOS
Date,,,,,
2019-01-02,1.159999966621399,1.1699999570846558,0.9900000095367432,1.0199999809265137,65900
2019-01-03,1.1100000143051147,1.159999966621399,1.100000023841858,1.159999966621399,40200
2019-01-04,1.190000057220459,1.25,1.0700000524520874,1.149999976158142,91400
2019-01-07,1.2000000476837158,1.2699999809265137,1.1699999570846558,1.190000057220459,84700
2019-01-08,1.2300000190734863,1.2799999713897705,1.1399999856948853,1.2100000381469727,67300
2019-01-09,1.600000023841858,1.9500000476837158,1.5,1.7400000095367432,18848500
2019-01-10,1.4299999475479126,1.4700000286102295,1.3300000429153442,1.4700000286102295,1132800
2019-01-11,1.3600000143051147,1.4199999570846558,1.3300000429153442,1.399999976158142,311600
2019-01-14,1.3300000429153442,1.4199999570846558,1.309999942779541,1.4199999570846558,220100
2019-01-15,1.2599999904632568,1.3200000524520874,1.2400000095367432,1.3200000524520874,291600
2019-01-16,1.2699999809265137,1.3600000143051147,1.2400000095367432,1.25,140400
2019-01-17,1.2599999904632568,1.350000023841858,1.25,1.25,61000
2019-01-18,1.340000033378601,1.3700000047683716,1.2799999713897705,1.2799999713897705,192700
2019-01-22,1.3799999952316284,1.4500000476837158,1.3600000143051147,1.3600000143051147,178100
2019-01-23,1.3200000524520874,1.4199999570846558,1.2999999523162842,1.4199999570846558,111000
2019-01-24,1.340000033378601,1.350000023841858,1.2999999523162842,1.2999999523162842,17100
2019-01-25,1.350000023841858,1.3600000143051147,1.309999942779541,1.3300000429153442,34000
2019-01-28,1.340000033378601,1.3899999856948853,1.340000033378601,1.3700000047683716,63300
2019-01-29,1.2999999523162842,1.3799999952316284,1.2999999523162842,1.3300000429153442,46300
2019-01-30,1.309999942779541,1.350000023841858,1.2999999523162842,1.2999999523162842,35400
2019-01-31,1.2999999523162842,1.340000033378601,1.2899999618530273,1.3200000524520874,36000
2019-02-01,1.3600000143051147,1.409999966621399,1.2899999618530273,1.2899999618530273,161300
2019-02-04,1.409999966621399,1.4600000381469727,1.3799999952316284,1.399999976158142,84200
2019-02-05,1.5,1.5399999618530273,1.399999976158142,1.399999976158142,98500
2019-02-06,1.4900000095367432,1.5499999523162842,1.4500000476837158,1.5099999904632568,61300
2019-02-07,1.7000000476837158,1.9500000476837158,1.6100000143051147,1.8600000143051147,10327800
2019-02-08,1.559999942779541,1.6799999475479126,1.4700000286102295,1.6799999475479126,884800
2019-02-11,1.4199999570846558,1.5499999523162842,1.409999966621399,1.5,297100
2019-02-12,1.5199999809265137,1.5499999523162842,1.4600000381469727,1.4900000095367432,192500
2019-02-13,1.6200000047683716,1.7100000381469727,1.5,1.5199999809265137,355400
2019-02-14,1.5299999713897705,1.6299999952316284,1.5299999713897705,1.6200000047683716,127900
2019-02-15,1.5099999904632568,1.5800000429153442,1.440000057220459,1.5199999809265137,112400
2019-02-19,1.4800000190734863,1.5399999618530273,1.4700000286102295,1.4800000190734863,92500
2019-02-20,1.5099999904632568,1.5299999713897705,1.4800000190734863,1.4900000095367432,48000
2019-02-21,1.440000057220459,1.5199999809265137,1.4199999570846558,1.4900000095367432,97100
2019-02-22,1.5199999809265137,1.5199999809265137,1.4199999570846558,1.4700000286102295,137200
2019-02-25,1.5099999904632568,1.5499999523162842,1.4800000190734863,1.5199999809265137,81000
2019-02-26,1.4500000476837158,1.5399999618530273,1.4500000476837158,1.5099999904632568,51300
2019-02-27,1.5,1.5,1.4500000476837158,1.4500000476837158,49500
2019-02-28,1.4700000286102295,1.5299999713897705,1.4600000381469727,1.5299999713897705,61400
2019-03-01,1.4500000476837158,1.4700000286102295,1.440000057220459,1.4700000286102295,56300
2019-03-04,1.409999966621399,1.4700000286102295,1.3899999856948853,1.4500000476837158,91700
2019-03-05,1.4299999475479126,1.4500000476837158,1.3600000143051147,1.3899999856948853,58600
2019-03-06,1.4500000476837158,1.4600000381469727,1.399999976158142,1.4199999570846558,81100
2019-03-07,1.4500000476837158,1.4500000476837158,1.3899999856948853,1.4500000476837158,162300
2019-03-08,1.5,1.7000000476837158,1.399999976158142,1.4299999475479126,696600
2019-03-11,1.5099999904632568,1.559999942779541,1.4500000476837158,1.5,58900
2019-03-12,1.5,1.5299999713897705,1.4199999570846558,1.5099999904632568,54600
2019-03-13,1.5099999904632568,1.5099999904632568,1.4600000381469727,1.4900000095367432,50900
2019-03-14,7.070000171661377,7.389999866485596,4.300000190734863,4.650000095367432,92367800
2019-03-15,3.509999990463257,5.639999866485596,3.309999942779541,5.360000133514404,21579000
2019-03-18,4.400000095367432,5.349999904632568,3.7699999809265137,4.010000228881836,25554600
2019-03-19,4.230000019073486,4.75,4.079999923706055,4.570000171661377,4381700
2019-03-20,4.039999961853027,4.190000057220459,3.809999942779541,4.059999942779541,2031600
2019-03-21,3.7300000190734863,4.070000171661377,3.6700000762939453,3.950000047683716,1700400
2019-03-22,3.680000066757202,3.9800000190734863,3.5799999237060547,3.6600000858306885,957800
2019-03-25,3.819999933242798,3.950000047683716,3.619999885559082,3.75,1064000
2019-03-26,3.9700000286102295,4.670000076293945,3.859999895095825,4.46999979019165,7538800
2019-03-27,3.75,3.940000057220459,3.5999999046325684,3.819999933242798,1310200
2019-03-28,3.700000047683716,3.8499999046325684,3.450000047683716,3.640000104904175,904700
2019-03-29,3.5199999809265137,3.7699999809265137,3.4700000286102295,3.6600000858306885,890100
2019-04-01,3.5799999237060547,3.6600000858306885,3.450000047683716,3.549999952316284,584700
2019-04-02,3.5399999618530273,3.5999999046325684,3.430000066757202,3.5399999618530273,532500
2019-04-03,3.4100000858306885,3.5399999618530273,3.369999885559082,3.5299999713897705,447500
2019-04-04,3.0899999141693115,3.369999885559082,3.0299999713897705,3.369999885559082,1126400
2019-04-05,3.0399999618530273,3.119999885559082,2.9000000953674316,3.069999933242798,799500
2019-04-08,3.119999885559082,3.180000066757202,2.9800000190734863,3.0,493400
2019-04-09,3.069999933242798,3.200000047683716,3.0399999618530273,3.0899999141693115,274400
2019-04-10,3.0799999237060547,3.140000104904175,2.9800000190734863,3.0299999713897705,424400
2019-04-11,3.0399999618530273,3.0799999237060547,2.9800000190734863,3.0799999237060547,267100
2019-04-12,2.9800000190734863,3.0999999046325684,2.950000047683716,3.0799999237060547,318400
2019-04-15,2.7799999713897705,2.950000047683716,2.700000047683716,2.950000047683716,530300
2019-04-16,2.6700000762939453,2.9000000953674316,2.6600000858306885,2.7799999713897705,250500
2019-04-17,2.619999885559082,2.700000047683716,2.569999933242798,2.700000047683716,287300
2019-04-18,2.5399999618530273,2.6700000762939453,2.5299999713897705,2.619999885559082,175800
2019-04-22,2.8299999237060547,2.859999895095825,2.430000066757202,2.5399999618530273,620500
